;TRADEDATE;SECID;OPEN;LOW;HIGH;CLOSE;VOLRUR;is_actual;last_CLOSE;short;long;diff;Stance;OBV;STHST_k;STHST_d;BBU;BBM;BBL;diff_st;Stance_st;Recommendation
32;2020-07-21;EURUSD000TOM;1.14416;1.1426;1.1539;1.1524;5250272135.78;1 day lag;;1.1476110641173924;1.140798551588816;0.006812512528576509;1;31914425316.55;93.89639326158033;90.63429404231896;1.1488925467734448;1.1321094999999997;1.1153264532265545;3.2620992192613727;1;Покупать (Long)
33;2020-07-22;EURUSD000TOM;1.1532200000000001;1.15076;1.16;1.15696;5250365644.34;1 day lag;;1.1522855320586962;1.1440308412710527;0.008254690787643515;1;37164790960.89;93.66496864872565;93.73978474840926;1.1533710084289661;1.1336324999999996;1.113893991571033;-0.07481609968361624;0;Ожидать (Hold)
34;2020-07-23;EURUSD000TOM;1.1596;1.15415;1.16248;1.15913;4961845517.45;1 day lag;;1.155707766029348;1.1470506730168422;0.008657093012505834;1;42126636478.34;91.50434102521278;93.02190097850628;1.1576318643922021;1.1350474999999998;1.1124631356077974;-1.5175599532934996;-1;Продавать (Short)
35;2020-07-24;EURUSD000TOM;1.1607299999999998;1.15818;1.16555;1.1652;4404538490.89;1 day lag;;1.160453883014674;1.1506805384134737;0.009773344601200273;1;46531174969.229996;95.06010711696327;93.40980559696726;1.1624716225221319;1.1372199999999997;1.1119683774778675;1.650301519996006;1;Покупать (Long)
36;2020-07-27;EURUSD000TOM;1.17051;1.16826;1.178;1.17488;3349299468.56;1 day lag;;1.167666941507337;1.1555204307307791;0.012146510776557928;1;49880474437.78999;96.6050655886477;94.38983791027461;1.1690041767120931;1.1398379999999997;1.1106718232879063;2.215227678373097;1;Покупать (Long)
37;2020-07-28;EURUSD000TOM;1.17288;1.16995;1.17416;1.17136;2835800956.6;1 day lag;;1.1695134707536685;1.1586883445846234;0.010825126169045074;1;47044673481.189995;90.74003795066415;94.1350702187584;1.1734787058676006;1.1421914999999996;1.1109042941323986;-3.395032268094255;-1;Продавать (Short)
38;2020-07-29;EURUSD000TOM;1.17515;1.17188;1.1804;1.17975;3696037357.42;1 day lag;;1.1746317353768343;1.162900675667699;0.01173105970913535;1;50740710838.60999;93.1103530927038;93.48515221067191;1.1790346226737736;1.1450174999999996;1.1110003773262256;-0.3747991179681094;0;Ожидать (Hold)
39;2020-07-30;EURUSD000TOM;1.17582;1.1732;1.18464;1.18462;5457889941.91;1 day lag;;1.1796258676884173;1.1672445405341594;0.012381327154257882;1;56198600780.51999;99.39179449294673;94.41406184543825;1.1847352777464768;1.1480469999999996;1.1113587222535224;4.977732647508475;1;Покупать (Long)
40;2020-07-31;EURUSD000TOM;1.19;1.17658;1.19029;1.1774;7920459066.48;1 day lag;;1.1785129338442086;1.1692756324273277;0.00923730141688095;1;48278141714.03999;88.81372264550606;93.77195674371889;1.1879126963439808;1.1506469999999995;1.1133813036560183;-4.958234098212827;-1;Продавать (Short)
41;2020-08-03;EURUSD000TOM;1.17511;1.1699;1.17844;1.17672;3660263160.32;1 day lag;;1.1776164669221043;1.1707645059418623;0.006851960980241989;1;44617878553.71999;76.07593431954155;88.09381715266481;1.190684452537272;1.1529469999999995;1.115209547462727;-12.017882833123267;-1;Продавать (Short)
42;2020-08-04;EURUSD000TOM;1.1779600000000001;1.17234;1.1802;1.17995;3023909866.87;1 day lag;;1.1787832334610522;1.17260160475349;0.006181628707562226;1;47641788420.59;77.52397067117872;80.80454254540881;1.193152458954259;1.1555724999999994;1.1179925410457399;-3.280571874230091;-1;Продавать (Short)
43;2020-08-05;EURUSD000TOM;1.182;1.18068;1.1904;1.18646;3729945907.85;1 day lag;;1.1826216167305261;1.175373283802792;0.007248332927734191;1;51371734328.439995;86.49166630511822;80.03052376527951;1.1966196785449925;1.1582454999999996;1.1198713214550067;6.461142539838704;1;Покупать (Long)
